published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-08-18T20:38:14+08:00,sz002081,002081,金 螳 螂,金 螳 螂：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002081/gp/notice/nos1225480964,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480964.PDF
2026-08-18T19:32:11+08:00,sz300345,300345,华民股份,华民股份：股票交易异常波动公告,up,,,https://gu.qq.com/sz300345/gp/notice/nos1225480790,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480790.PDF
2026-08-18T19:02:09+08:00,sz002820,002820,桂发祥,桂发祥：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002820/gp/notice/nos1225480568,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480568.PDF
2026-08-18T18:46:23+08:00,sh605179,605179,一鸣食品,一鸣食品：股票交易严重异常波动暨风险提示公告,up,30日偏离/严重异动,,https://gu.qq.com/sh605179/gp/notice/nos1225480589,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480589.PDF
2026-08-18T18:32:07+08:00,sz300570,300570,太辰光,太辰光：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz300570/gp/notice/nos1225480371,https://file.finance.qq.com/finance/hs/pdf/2026/08/18/1225480371.PDF
2026-08-18T18:26:18+08:00,sz300313,300313,天山生物,天山生物：股票交易异常波动公告,up,,,https://gu.qq.com/sz300313/gp/notice/nos1225480325,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480325.PDF
2026-08-18T18:22:07+08:00,sz300684,300684,中石科技,中石科技：关于股票交易严重异常波动的公告,up,,,https://gu.qq.com/sz300684/gp/notice/nos1225480246,https://file.finance.qq.com/finance/hs/pdf/2026/08/18/1225480246.PDF
2026-08-18T18:13:08+08:00,sz002515,002515,金字火腿,金字火腿：关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sz002515/gp/notice/nos1225480234,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480234.PDF
2026-08-18T18:12:36+08:00,sh600353,600353,旭光电子,旭光电子：旭光电子股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600353/gp/notice/nos1225480358,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480358.PDF
2026-08-18T18:09:35+08:00,sz300243,300243,瑞丰高材,瑞丰高材：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz300243/gp/notice/nos1225480152,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480152.PDF
2026-08-18T18:08:08+08:00,sz301282,301282,金禄电子,金禄电子：股票交易异常波动公告,up,,,https://gu.qq.com/sz301282/gp/notice/nos1225480173,https://file.finance.qq.com/finance/hs/pdf/2026/08/18/1225480173.PDF
2026-08-18T17:55:04+08:00,sh600272,600272,开开实业,开开实业：关于上海开开实业股份有限公司股票交易异常波动的问询函的回函,unknown,,,https://gu.qq.com/sh600272/gp/notice/nos1225480175,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480175.PDF
2026-08-18T17:55:04+08:00,sh600272,600272,开开实业,开开实业：股票交易异常波动暨风险提示公告,up,20%偏离异动,,https://gu.qq.com/sh600272/gp/notice/nos1225480181,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225480181.PDF
2026-08-18T17:54:08+08:00,sz301516,301516,中远通,中远通：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz301516/gp/notice/nos1225480093,https://file.finance.qq.com/finance/hs/pdf/2026/08/18/1225480093.PDF
2026-08-18T17:49:20+08:00,sz000620,000620,盈新发展,盈新发展：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000620/gp/notice/nos1225479997,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225479997.PDF
2026-08-18T17:48:08+08:00,sz300189,300189,神农种业,神农种业：股票交易异常波动公告,up,,,https://gu.qq.com/sz300189/gp/notice/nos1225480023,https://file.finance.qq.com/finance/hs/pdf/2026/08/18/1225480023.PDF
2026-08-18T17:25:03+08:00,sh603936,603936,博敏电子,博敏电子：博敏电子股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603936/gp/notice/nos1225479941,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225479941.PDF
2026-08-18T17:22:53+08:00,sh605286,605286,同力天启,同力天启：同力天启关于股票交易异常波动的公告,down,20%偏离异动,1,https://gu.qq.com/sh605286/gp/notice/nos1225479949,https://file.finance.qq.com/finance/hs/pdf/2026/08/19/1225479949.PDF
