trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-22,09:30,9812384260,11179715126,20992099386,2026-09-21,18645061988,2347037398,12.587984,tencent,2026-09-22T09:30:00+08:00
2026-09-22,09:40,192518479357,220662704675,413181184032,2026-09-21,389906373966,23274810066,5.969333,tencent,2026-09-22T09:40:00+08:00
2026-09-22,09:50,286692660581,327198859652,613891520233,2026-09-21,584344477867,29547042366,5.056442,tencent,2026-09-22T09:50:00+08:00
2026-09-22,10:00,360865719656,405190568906,766056288562,2026-09-21,735062756098,30993532464,4.216447,tencent,2026-09-22T10:00:00+08:00
2026-09-22,10:10,422892391296,466852368021,889744759317,2026-09-21,853215685878,36529073439,4.281341,tencent,2026-09-22T10:10:00+08:00
2026-09-22,10:20,471935722119,518793671272,990729393391,2026-09-21,946807214265,43922179126,4.638978,tencent,2026-09-22T10:20:00+08:00
2026-09-22,10:30,512997318442,565488412630,1078485731072,2026-09-21,1019600066519,58885664553,5.775369,tencent,2026-09-22T10:30:00+08:00
2026-09-22,10:40,554074505967,608019270580,1162093776547,2026-09-21,1089547743794,72546032753,6.658362,tencent,2026-09-22T10:40:00+08:00
2026-09-22,10:50,586826307052,641061986314,1227888293366,2026-09-21,1146920820780,80967472586,7.059552,tencent,2026-09-22T10:50:00+08:00
2026-09-22,11:00,616835332161,675340357448,1292175689609,2026-09-21,1193186924176,98988765433,8.296166,tencent,2026-09-22T11:00:00+08:00
2026-09-22,11:10,642310350631,703485756183,1345796106814,2026-09-21,1240263513127,105532593687,8.508885,tencent,2026-09-22T11:10:00+08:00
2026-09-22,11:20,663036006927,726646027518,1389682034445,2026-09-21,1287430803649,102251230796,7.94227,tencent,2026-09-22T11:20:00+08:00
2026-09-22,11:30,681034669654,747252801145,1428287470799,2026-09-21,1327843418751,100444052048,7.56445,tencent,2026-09-22T11:30:00+08:00
2026-09-22,13:00,681034669654,747252801145,1428287470799,2026-09-21,1327843418751,100444052048,7.56445,tencent,2026-09-22T13:00:00+08:00
2026-09-22,13:10,720455280159,792096252184,1512551532343,2026-09-21,1404278030681,108273501662,7.710261,tencent,2026-09-22T13:10:00+08:00
2026-09-22,13:20,744483243981,820267677667,1564750921648,2026-09-21,1460638290456,104112631192,7.127886,tencent,2026-09-22T13:20:00+08:00
2026-09-22,13:30,771197789539,850983605987,1622181395526,2026-09-21,1509635649732,112545745794,7.45516,tencent,2026-09-22T13:30:00+08:00
2026-09-22,13:40,797666549781,881303507831,1678970057612,2026-09-21,1553198488500,125771569112,8.097585,tencent,2026-09-22T13:40:00+08:00
2026-09-22,13:50,817058746142,903872562355,1720931308497,2026-09-21,1597155976732,123775331765,7.749733,tencent,2026-09-22T13:50:00+08:00
2026-09-22,14:00,833456828914,922842760649,1756299589563,2026-09-21,1638956406686,117343182877,7.159628,tencent,2026-09-22T14:00:00+08:00
2026-09-22,14:10,854308187423,947302357755,1801610545178,2026-09-21,1683665371214,117945173964,7.005262,tencent,2026-09-22T14:10:00+08:00
2026-09-22,14:20,875912198020,972226934186,1848139132206,2026-09-21,1728707674259,119431457947,6.908713,tencent,2026-09-22T14:20:00+08:00
2026-09-22,14:30,897427956117,995885968500,1893313924617,2026-09-21,1776167439676,117146484941,6.595464,tencent,2026-09-22T14:30:00+08:00
2026-09-22,14:40,930139543529,1033776173591,1963915717120,2026-09-21,1841574421868,122341295252,6.643299,tencent,2026-09-22T14:40:00+08:00
2026-09-22,14:50,963988428833,1073592202985,2037580631818,2026-09-21,1923195968982,114384662836,5.947634,tencent,2026-09-22T14:50:00+08:00
2026-09-22,15:00,1007995610882,1127554799398,2135550410280,2026-09-21,2031513488519,104036921761,5.121153,tencent,2026-09-22T15:00:00+08:00
